 Bins    Order     Time    Rows    Missing    Missing %  Scheme        RMSE
   105        3  27.7919  122646       2461        2.007  RAND      10.5989
   160        2  25.4433  122647        289        0.236  RAND      10.6009
   120        2  28.7907  122647        208        0.17   MEDIAN    10.6018
    85        4  27.3351  122645      11212        9.142  RAND      10.602
   110        2  25.58    122647        193        0.157  LAST      10.602
   145        2  28.4165  122647        254        0.207  MEDIAN    10.6028
   195        2  26.9341  122647        391        0.319  RAND      10.6028
    55        4  24.7201  122645       3942        3.214  MEAN      10.6062
   190        2  28.0725  122647        374        0.305  RAND      10.6078
   160        2  27.2904  122647        289        0.236  MEDIAN    10.6085
   170        2  29.4631  122647        315        0.257  MEAN      10.6105
   110        3  27.7567  122646       2777        2.264  RAND      10.6114
   105        2  27.9421  122647        182        0.148  LAST      10.6122
   165        2  28.256   122647        302        0.246  RAND      10.6156
   180        2  29.7038  122647        328        0.267  RAND      10.6162
   135        2  28.9172  122647        240        0.196  MEAN      10.6164
    95        2  25.8542  122647        170        0.139  MEDIAN    10.6178
   155        2  26.45    122647        270        0.22   MEDIAN    10.6179
    55        3  26.5583  122646        536        0.437  MEDIAN    10.6201
   140        2  28.3019  122647        248        0.202  RAND      10.6203
   115        3  26.6698  122646       3137        2.558  RAND      10.6206
    95        2  28.5746  122647        170        0.139  LAST      10.6215
    55        4  29.1061  122645       3942        3.214  MEDIAN    10.6222
   150        2  29.4718  122647        256        0.209  MEAN      10.6273
   100        2  28.5552  122647        183        0.149  MEDIAN    10.628
   130        2  28.8703  122647        239        0.195  MEAN      10.6286
   100        2  25.7508  122647        183        0.149  LAST      10.6299
   115        2  28.1289  122647        209        0.17   MEDIAN    10.6328
   140        2  28.2514  122647        248        0.202  MEDIAN    10.6341
   175        2  27.1161  122647        318        0.259  RAND      10.64
   185        2  26.5741  122647        354        0.289  RAND      10.6438
   105        2  28.419   122647        182        0.148  RAND      10.6442
    90        2  27.7471  122647        159        0.13   MEAN      10.6442
   145        2  28.9465  122647        254        0.207  RAND      10.645
    90        2  27.1983  122647        159        0.13   MEDIAN    10.6451
   115        2  33.1357  122647        209        0.17   MEAN      10.646
   105        2  27.6169  122647        182        0.148  MEDIAN    10.6461
   125        2  28.61    122647        220        0.179  MEDIAN    10.6464
   140        2  28.9443  122647        248        0.202  MEAN      10.647
    70        7  21.6216  122642      61888       50.462  RAND      10.6472
    70        6  22.6036  122643      38290       31.221  RAND      10.649
   135        2  24.6332  122647        240        0.196  RAND      10.6517
   130        2  27.9018  122647        239        0.195  RAND      10.6528
    55        3  24.3849  122646        536        0.437  MEAN      10.653
    85        3  28.5125  122646       1435        1.17   RAND      10.6533
    90        3  25.7647  122646       1619        1.32   RAND      10.6566
   120        2  27.8115  122647        208        0.17   MEAN      10.6577
    80        3  26.3251  122646       1265        1.031  RAND      10.6599
   110        2  26.8607  122647        193        0.157  RAND      10.6602
    95        2  28.5996  122647        170        0.139  MEAN      10.6639
   100        2  30.0127  122647        183        0.149  MEAN      10.6695
   150        2  26.2824  122647        256        0.209  RAND      10.6698
    75        3  24.9617  122646       1044        0.851  RAND      10.6729
   100        3  26.2606  122646       2151        1.754  RAND      10.6752
   105        2  29.125   122647        182        0.148  MEAN      10.6783
   120        2  29.04    122647        208        0.17   RAND      10.6793
    95        3  27.5755  122646       1919        1.565  RAND      10.6813
   110        2  28.4808  122647        193        0.157  MEDIAN    10.6814
    35        6  25.981   122643      11388        9.285  MEAN      10.6836
   155        2  28.1589  122647        270        0.22   RAND      10.6841
   100        2  26.2261  122647        183        0.149  RAND      10.6878
    85        2  27.7738  122647        148        0.121  MEDIAN    10.6894
    60        5  28.5024  122644      15464       12.609  RAND      10.6902
    80        2  27.6974  122647        143        0.117  LAST      10.6906
    85        2  26.1203  122647        148        0.121  LAST      10.6929
    65        5  26.1395  122644      17691       14.425  RAND      10.6932
    50        3  27.3055  122646        452        0.369  MEDIAN    10.6934
    80        2  28.2494  122647        143        0.117  MEAN      10.6936
   110        2  28.9497  122647        193        0.157  MEAN      10.6937
   125        2  28.0164  122647        220        0.179  MEAN      10.6947
    50        3  27.6461  122646        452        0.369  MEAN      10.6951
    95        2  27.9286  122647        170        0.139  RAND      10.6976
    80        4  25.7471  122645       9939        8.104  RAND      10.6999
   170        2  27.3153  122647        315        0.257  RAND      10.7045
    75        2  28.3494  122647        126        0.103  MEAN      10.7197
    90        2  25.3945  122647        159        0.13   RAND      10.728
    70        2  29.9645  122647        114        0.093  MEDIAN    10.7289
    75        2  25.641   122647        126        0.103  LAST      10.7304
    65        6  25.2464  122643      33601       27.397  RAND      10.7314
    70        3  27.9617  122646        891        0.726  RAND      10.7334
   115        2  26.5744  122647        209        0.17   RAND      10.7336
   125        2  25.7477  122647        220        0.179  RAND      10.7343
    45        3  24.3842  122646        359        0.293  MEAN      10.7345
    60        3  29.4015  122646        643        0.524  RAND      10.7391
    75        4  27.0783  122645       8618        7.027  RAND      10.7437
    80        2  27.341   122647        143        0.117  MEDIAN    10.7452
    80        2  28.4063  122647        143        0.117  RAND      10.7522
    85        2  28.2496  122647        148        0.121  MEAN      10.7534
    60        6  26.3846  122643      28855       23.528  RAND      10.7535
    70        2  28.0782  122647        114        0.093  MEAN      10.7546
    45        3  27.4896  122646        359        0.293  MEDIAN    10.7603
    60        2  25.7627  122647        113        0.092  LAST      10.7641
    70        2  27.3303  122647        114        0.093  RAND      10.7644
    40        5  27.513   122644       6535        5.328  MEAN      10.7647
    65        2  26.0132  122647        120        0.098  RAND      10.7649
    35        6  30.3527  122643      11388        9.285  MEDIAN    10.766
    75        2  26.0043  122647        126        0.103  RAND      10.7709
    75        2  28.9163  122647        126        0.103  MEDIAN    10.7712
    50        4  27.3262  122645       3029        2.47   MEAN      10.7748
    65        3  26.8579  122646        769        0.627  RAND      10.7792
    60        2  27.7526  122647        113        0.092  MEAN      10.7858
    65        2  27.3667  122647        120        0.098  LAST      10.7887
    65        7  24.6295  122642      55067       44.901  RAND      10.7942
    55        3  29.1815  122646        536        0.437  RAND      10.7971
    65        2  28.0305  122647        120        0.098  MEDIAN    10.7976
    65        2  26.579   122647        120        0.098  MEAN      10.7978
    70        2  28.2457  122647        114        0.093  LAST      10.8025
    50        3  27.3529  122646        452        0.369  RAND      10.8027
    85        2  28.0936  122647        148        0.121  RAND      10.8057
   190        4  22.431   122645      40404       32.944  LAST      10.8192
    30        7  26.9424  122642      14245       11.615  MEAN      10.821
    55        2  26.402   122647        101        0.082  MEDIAN    10.8246
    50        4  29.7798  122645       3029        2.47   MEDIAN    10.8265
    60        2  28.2481  122647        113        0.092  MEDIAN    10.8285
   195        4  22.7833  122645      41831       34.107  LAST      10.8308
    55        2  26.9993  122647        101        0.082  LAST      10.8314
   180        4  22.8392  122645      37551       30.618  LAST      10.838
    65        3  27.5592  122646        769        0.627  LAST      10.8462
    60        2  28.7457  122647        113        0.092  RAND      10.8505
    45        3  28.4748  122646        359        0.293  RAND      10.8559
    70        4  27.6401  122645       7460        6.083  RAND      10.8566
    55        3  27.9757  122646        536        0.437  LAST      10.8567
   185        4  23.9137  122645      39172       31.939  LAST      10.859
    60        7  23.177   122642      48193       39.296  RAND      10.8603
    80        3  27.4251  122646       1265        1.031  LAST      10.8645
    55        2  28.8561  122647        101        0.082  RAND      10.8646
    60        3  26.7533  122646        643        0.524  LAST      10.8651
    50        3  26.8514  122646        452        0.369  LAST      10.8717
   175        4  20.0787  122645      35812       29.2    LAST      10.8755
   165        4  22.7331  122645      32326       26.357  LAST      10.8906
    50        2  26.2685  122647         81        0.066  LAST      10.8927
    55        2  24.1718  122647        101        0.082  MEAN      10.8954
    70        3  27.4319  122646        891        0.726  LAST      10.8956
    90        3  25.0393  122646       1619        1.32   LAST      10.8967
    75        3  26.2856  122646       1044        0.851  LAST      10.8973
    40        5  28.9192  122644       6535        5.328  MEDIAN    10.8984
   170        4  20.894   122645      34133       27.831  LAST      10.9075
    55        5  27.6441  122644      13343       10.879  RAND      10.9108
    50        2  28.5994  122647         81        0.066  MEAN      10.9158
   155        4  22.8108  122645      29026       23.667  LAST      10.9164
    40        3  27.6317  122646        301        0.245  MEDIAN    10.9204
   160        4  21.264   122645      30774       25.092  LAST      10.9241
    65        4  25.4778  122645       6215        5.067  RAND      10.9242
   140        4  24.886   122645      24541       20.01   LAST      10.9259
    40        3  27.9962  122646        301        0.245  MEAN      10.9269
    55        6  27.198   122643      24838       20.252  RAND      10.9308
    85        3  25.5273  122646       1435        1.17   LAST      10.9312
   150        4  22.593   122645      27614       22.515  LAST      10.9397
   130        4  24.4759  122645      21984       17.925  LAST      10.9442
   145        4  25.5272  122645      25984       21.186  LAST      10.9458
   105        3  26.9648  122646       2461        2.007  LAST      10.9458
    50        2  27.9589  122647         81        0.066  MEDIAN    10.9472
    45        3  27.7067  122646        359        0.293  LAST      10.9518
    45        2  26.4068  122647         76        0.062  MEDIAN    10.9519
    95        3  27.9604  122646       1919        1.565  LAST      10.9565
   135        4  23.0277  122645      23321       19.015  LAST      10.9566
   175        3  29.0443  122646       8428        6.872  LAST      10.9598
    45        4  24.8628  122645       2058        1.678  MEAN      10.9606
   120        4  25.5546  122645      19375       15.798  LAST      10.9621
    40        3  25.9317  122646        301        0.245  RAND      10.9627
   125        4  23.0035  122645      20819       16.975  LAST      10.9704
    45        2  28.0581  122647         76        0.062  RAND      10.9743
   100        3  25.1761  122646       2151        1.754  LAST      10.9751
   195        3  27.0207  122646       9917        8.086  LAST      10.9752
   115        4  25.5396  122645      18182       14.825  LAST      10.9782
   130        3  27.0208  122646       4286        3.495  LAST      10.9793
    45        4  27.3484  122645       2058        1.678  MEDIAN    10.9805
   180        3  26.5153  122646       8794        7.17   LAST      10.9806
    45        2  25.1526  122647         76        0.062  MEAN      10.984
   140        3  27.4772  122646       5042        4.111  LAST      10.9841
   195        5  19.4313  122644      80413       65.566  LAST      10.9848
   190        3  25.3053  122646       9507        7.752  LAST      10.9863
   110        4  23.433   122645      17109       13.95   LAST      10.987
   190        5  19.5977  122644      79374       64.719  LAST      10.9872
   180        5  18.9968  122644      77717       63.368  LAST      10.9897
    55        7  25.6998  122642      41564       33.891  RAND      10.9927
   185        5  19.3607  122644      78558       64.054  LAST      10.9985
   125        3  25.6424  122646       3915        3.192  LAST      10.9989
   185        3  27.0607  122646       9266        7.555  LAST      10.9996
   105        4  25.2058  122645      15791       12.875  LAST      11.0004
   115        3  27.6142  122646       3137        2.558  LAST      11.0004
    60        4  28.5754  122645       4906        4      RAND      11.0006
    45        2  27.6419  122647         76        0.062  LAST      11.0017
   135        3  25.7808  122646       4696        3.829  LAST      11.0019
   165        3  26.8325  122646       7381        6.018  LAST      11.0041
   110        3  25.2169  122646       2777        2.264  LAST      11.0083
   155        3  27.3006  122646       6359        5.185  LAST      11.0096
    50        2  28.6725  122647         81        0.066  RAND      11.011
   120        3  27.2035  122646       3490        2.846  LAST      11.0158
   175        5  17.3381  122644      76691       62.531  LAST      11.0178
   150        3  25.8081  122646       5918        4.825  LAST      11.019
   170        3  24.01    122646       7830        6.384  LAST      11.0243
    30        7  30.969   122642      14245       11.615  MEDIAN    11.0288
    35        3  27.8926  122646        241        0.197  MEAN      11.0299
   100        4  23.8481  122645      14604       11.908  LAST      11.0407
   170        5  20.3792  122644      74415       60.676  LAST      11.0417
   160        3  24.6907  122646       6945        5.663  LAST      11.0436
   145        3  26.4191  122646       5538        4.515  LAST      11.0453
    40        3  27.2315  122646        301        0.245  LAST      11.0482
    50        6  27.3985  122643      21143       17.239  RAND      11.0561
    90        4  24.0923  122645      12277       10.01   LAST      11.0563
    95        4  25.0962  122645      13399       10.925  LAST      11.0579
   165        5  19.2824  122644      71855       58.588  LAST      11.0616
    35        3  28.4821  122646        241        0.197  MEDIAN    11.0775
   160        5  18.7498  122644      69370       56.562  LAST      11.0904
   155        5  19.8068  122644      67251       54.834  LAST      11.1021
    35        3  27.5521  122646        241        0.197  RAND      11.1026
    40        2  24.7371  122647         62        0.051  RAND      11.107
    50        7  24.6633  122642      34758       28.341  RAND      11.116
    40        4  28.374   122645       1529        1.247  MEDIAN    11.1261
   150        5  20.0082  122644      64963       52.969  LAST      11.1284
    40        4  28.3548  122645       1529        1.247  MEAN      11.1292
    50        5  26.7551  122644      11307        9.219  RAND      11.1327
    45        6  27.3311  122643      17802       14.515  RAND      11.1347
    85        4  25.7184  122645      11212        9.142  LAST      11.1481
   145        5  21.938   122644      62342       50.832  LAST      11.1482
    40        2  26.991   122647         62        0.051  MEAN      11.1492
    40        2  26.662   122647         62        0.051  LAST      11.1521
    40        2  28.3691  122647         62        0.051  MEDIAN    11.1546
    55        4  28.7106  122645       3942        3.214  RAND      11.1549
   140        5  20.0936  122644      59986       48.911  LAST      11.1676
    80        4  26.4171  122645       9939        8.104  LAST      11.185
    35        2  28.2895  122647         47        0.038  LAST      11.1949
    50        4  30.6684  122645       3029        2.47   RAND      11.2062
   135        5  20.0793  122644      57142       46.592  LAST      11.2068
    35        3  28.4345  122646        241        0.197  LAST      11.2147
    75        4  25.2293  122645       8618        7.027  LAST      11.2157
   130        5  21.459   122644      54574       44.498  LAST      11.2165
    35        5  25.8586  122644       4522        3.687  MEAN      11.2291
    70        4  26.1227  122645       7460        6.083  LAST      11.2337
   125        5  19.5435  122644      52084       42.468  LAST      11.2339
    45        7  25.8571  122642      28537       23.269  RAND      11.243
   120        5  20.8471  122644      49197       40.114  LAST      11.2476
    30        3  27.6619  122646        181        0.148  MEDIAN    11.2532
    45        5  27.8625  122644       8739        7.126  RAND      11.2551
    35        2  27.1974  122647         47        0.038  MEAN      11.2641
   115        5  22.0369  122644      46081       37.573  LAST      11.2807
    30        3  28.9473  122646        181        0.148  MEAN      11.2834
    30        6  28.4628  122643       7788        6.35   MEAN      11.2847
    35        5  28.1378  122644       4522        3.687  MEDIAN    11.2933
   110        5  22.5037  122644      42708       34.823  LAST      11.3006
    30        3  29.0399  122646        181        0.148  RAND      11.3018
    35        4  27.2729  122645       1022        0.833  MEAN      11.3041
    45        4  28.783   122645       2058        1.678  RAND      11.3093
    35        2  27.5841  122647         47        0.038  MEDIAN    11.3124
    65        4  25.8868  122645       6215        5.067  LAST      11.3143
    60        4  27.5196  122645       4906        4      LAST      11.3158
    35        2  27.0645  122647         47        0.038  RAND      11.3303
    35        4  29.1397  122645       1022        0.833  MEDIAN    11.3311
   105        5  23.0958  122644      39491       32.2    LAST      11.3419
    40        4  25.7369  122645       1529        1.247  RAND      11.3465
    30        6  29.1676  122643       7788        6.35   MEDIAN    11.353
    40        6  27.7904  122643      14630       11.929  RAND      11.3588
    30        3  26.131   122646        181        0.148  LAST      11.3719
    90        5  21.5061  122644      30191       24.617  LAST      11.3742
   100        5  21.1108  122644      36149       29.475  LAST      11.3776
    55        4  24.9263  122645       3942        3.214  LAST      11.3874
    95        5  22.9662  122644      33212       27.08   LAST      11.3942
    40        7  25.6436  122642      23185       18.905  RAND      11.4033
    50        4  26.8804  122645       3029        2.47   LAST      11.411
    80        5  22.4033  122644      24454       19.939  LAST      11.4285
    30        2  28.4099  122647         40        0.033  RAND      11.4318
   180        6  17.9721  122643      92986       75.818  LAST      11.432
    85        5  24.7631  122644      27572       22.481  LAST      11.4428
   190        6  17.1109  122643      93249       76.033  LAST      11.4488
   195        6  17.4585  122643      93600       76.319  LAST      11.4534
    35        4  27.5287  122645       1022        0.833  RAND      11.4538
   175        6  15.7481  122643      92397       75.338  LAST      11.4551
   185        6  18.6421  122643      93124       75.931  LAST      11.4554
    70        5  25.1428  122644      19973       16.285  LAST      11.4565
    40        5  26.932   122644       6535        5.328  RAND      11.4651
   165        6  16.8988  122643      90535       73.82   LAST      11.4704
   170        6  18.6912  122643      91883       74.919  LAST      11.4729
    75        5  23.4889  122644      22355       18.228  LAST      11.4759
    45        4  26.9629  122645       2058        1.678  LAST      11.4769
   160        6  16.91    122643      89199       72.731  LAST      11.4778
   155        6  18.042   122643      87949       71.711  LAST      11.4884
   150        6  18.1962  122643      87050       70.978  LAST      11.4965
    65        5  24.5696  122644      17691       14.425  LAST      11.4976
    60        5  25.5067  122644      15464       12.609  LAST      11.4983
    40        4  26.8286  122645       1529        1.247  LAST      11.5002
    30        4  29.0771  122645        657        0.536  MEAN      11.5015
   145        6  18.9294  122643      85559       69.763  LAST      11.5049
    30        2  26.7272  122647         40        0.033  MEDIAN    11.5061
   140        6  19.0037  122643      84679       69.045  LAST      11.5095
    30        2  28.4325  122647         40        0.033  MEAN      11.5129
   135        6  19.2141  122643      82919       67.61   LAST      11.5233
   130        6  18.3806  122643      81415       66.384  LAST      11.5318
    30        2  27.7813  122647         40        0.033  LAST      11.5332
   125        6  18.6531  122643      79599       64.903  LAST      11.537
   120        6  20.1954  122643      78217       63.776  LAST      11.5415
    25        3  27.3098  122646        135        0.11   MEAN      11.5548
    30        4  28.4327  122645        657        0.536  MEDIAN    11.5718
    30        5  27.3732  122644       2704        2.205  MEAN      11.5841
   115        6  20.355   122643      75529       61.584  LAST      11.59
    55        5  23.9352  122644      13343       10.879  LAST      11.5998
    35        4  28.1049  122645       1022        0.833  LAST      11.6022
    35        7  25.4988  122642      18502       15.086  RAND      11.6037
   110        6  20.3158  122643      72551       59.156  LAST      11.6214
    25        3  28.2895  122646        135        0.11   RAND      11.6389
    25        3  26.7792  122646        135        0.11   MEDIAN    11.6411
    30        5  28.3338  122644       2704        2.205  MEDIAN    11.6419
   105        6  18.4986  122643      69403       56.589  LAST      11.6511
    30        4  29.6583  122645        657        0.536  RAND      11.6657
    35        6  25.545   122643      11388        9.285  RAND      11.6773
    25        7  29.6395  122642       9785        7.979  MEAN      11.686
   100        6  18.8619  122643      65916       53.746  LAST      11.6864
    50        5  26.031   122644      11307        9.219  LAST      11.6894
    95        6  20.6633  122643      62401       50.88   LAST      11.7058
    90        6  19.2465  122643      57740       47.08   LAST      11.7411
    25        3  25.135   122646        135        0.11   LAST      11.7489
    30        4  25.5758  122645        657        0.536  LAST      11.7606
    45        5  26.5652  122644       8739        7.126  LAST      11.7725
    35        5  27.5614  122644       4522        3.687  RAND      11.7801
    25        7  28.6179  122642       9785        7.979  MEDIAN    11.8107
    85        6  21.341   122643      53558       43.67   LAST      11.8108
    25        4  27.7521  122645        463        0.378  MEAN      11.8281
    80        6  19.3284  122643      47880       39.04   LAST      11.8285
    25        4  26.8275  122645        463        0.378  MEDIAN    11.8612
    25        2  27.0062  122647         25        0.02   RAND      11.8867
    75        6  21.6713  122643      43486       35.457  LAST      11.8893
    40        5  25.4568  122644       6535        5.328  LAST      11.899
    70        6  23.5041  122643      38290       31.221  LAST      11.9106
    25        2  27.5669  122647         25        0.02   MEAN      11.9121
    25        2  25.9353  122647         25        0.02   LAST      11.9122
    25        2  26.6194  122647         25        0.02   MEDIAN    11.9217
    30        5  29.3852  122644       2704        2.205  RAND      11.9469
    25        4  27.6847  122645        463        0.378  RAND      11.9524
    65        6  22.781   122643      33601       27.397  LAST      11.964
    60        6  24.3019  122643      28855       23.528  LAST      11.965
    55        6  23.5188  122643      24838       20.252  LAST      12.0237
    30        7  26.6184  122642      14245       11.615  RAND      12.0274
    30        6  28.9443  122643       7788        6.35   RAND      12.0319
    25        6  28.5249  122643       4550        3.71   MEAN      12.0569
    50        6  25.8368  122643      21143       17.239  LAST      12.068
   180        7  16.3408  122642      99712       81.303  LAST      12.0751
    25        5  27.771   122644       1552        1.265  MEAN      12.0921
    45        6  24.5102  122643      17802       14.515  LAST      12.0932
   190        7  17.4116  122642      99728       81.316  LAST      12.0981
   195        7  17.2026  122642      99806       81.38   LAST      12.0997
   185        7  18.0247  122642      99717       81.307  LAST      12.1
    25        4  27.4128  122645        463        0.378  LAST      12.1015
   175        7  15.2136  122642      98273       80.13   LAST      12.1034
   165        7  16.2624  122642      97871       79.802  LAST      12.1066
   170        7  17.3528  122642      98214       80.082  LAST      12.1129
   120        7  17.9851  122642      90098       73.464  LAST      12.1147
   160        7  17.2876  122642      97229       79.279  LAST      12.1156
   150        7  16.9352  122642      94943       77.415  LAST      12.1212
    35        5  27.4767  122644       4522        3.687  LAST      12.1226
   155        7  17.4744  122642      95911       78.204  LAST      12.1228
   135        7  18.2268  122642      92773       75.645  LAST      12.123
   140        7  18.4235  122642      93431       76.182  LAST      12.1274
   145        7  18.3852  122642      94332       76.917  LAST      12.1288
    25        6  28.1091  122643       4550        3.71   MEDIAN    12.131
    25        5  27.1774  122644       1552        1.265  MEDIAN    12.1321
   130        7  17.868   122642      91262       74.413  LAST      12.1369
   125        7  17.6075  122642      90413       73.721  LAST      12.1377
   115        7  18.3721  122642      89202       72.734  LAST      12.1544
   110        7  18.6658  122642      87202       71.103  LAST      12.1719
   105        7  17.6903  122642      85426       69.655  LAST      12.1873
   100        7  19.5326  122642      83938       68.441  LAST      12.1979
    40        6  24.8044  122643      14630       11.929  LAST      12.2073
    95        7  19.0325  122642      81513       66.464  LAST      12.2094
    90        7  17.7454  122642      79052       64.458  LAST      12.2158
    20        3  26.5052  122646        109        0.089  MEAN      12.2622
    30        5  26.2811  122644       2704        2.205  LAST      12.2715
    85        7  20.1927  122642      76179       62.115  LAST      12.2731
    20        3  26.9646  122646        109        0.089  MEDIAN    12.2881
    25        5  27.2746  122644       1552        1.265  RAND      12.3011
    80        7  18.4075  122642      71066       57.946  LAST      12.3017
    20        3  24.2591  122646        109        0.089  LAST      12.3184
    20        3  27.6428  122646        109        0.089  RAND      12.3193
    75        7  21.0338  122642      66764       54.438  LAST      12.3388
    20        4  25.9377  122645        269        0.219  MEDIAN    12.3784
    70        7  19.4898  122642      61888       50.462  LAST      12.3957
    35        6  25.6396  122643      11388        9.285  LAST      12.4099
    20        4  26.9938  122645        269        0.219  MEAN      12.4182
    20        4  28.6652  122645        269        0.219  RAND      12.4725
    65        7  21.4606  122642      55067       44.901  LAST      12.4752
    60        7  22.312   122642      48193       39.296  LAST      12.5074
    25        5  28.4691  122644       1552        1.265  LAST      12.5335
    20        2  25.4416  122647         15        0.012  LAST      12.5503
    55        7  20.9542  122642      41564       33.891  LAST      12.5709
    20        4  25.5742  122645        269        0.219  LAST      12.5735
    30        6  25.3136  122643       7788        6.35   LAST      12.6012
    20        2  27.5557  122647         15        0.012  RAND      12.6096
    25        6  27.3108  122643       4550        3.71   RAND      12.6238
    50        7  23.8335  122642      34758       28.341  LAST      12.6295
    45        7  23.4383  122642      28537       23.269  LAST      12.6588
    20        2  26.1897  122647         15        0.012  MEDIAN    12.664
    20        2  27.4364  122647         15        0.012  MEAN      12.6704
    25        7  26.6457  122642       9785        7.979  RAND      12.6706
    20        5  27.7129  122644        734        0.598  MEAN      12.6726
    20        5  28.214   122644        734        0.598  MEDIAN    12.6936
    40        7  24.7945  122642      23185       18.905  LAST      12.7549
    20        7  28.4199  122642       4966        4.049  MEAN      12.8497
    20        5  28.1157  122644        734        0.598  RAND      12.8555
    35        7  25.3074  122642      18502       15.086  LAST      12.8952
    20        7  28.8892  122642       4966        4.049  MEDIAN    12.906
    20        6  27.5758  122643       2103        1.715  MEAN      12.9175
    20        5  25.7851  122644        734        0.598  LAST      12.9519
    20        6  29.1487  122643       2103        1.715  MEDIAN    12.956
    25        6  26.8173  122643       4550        3.71   LAST      12.9993
    30        7  24.3102  122642      14245       11.615  LAST      13.024
    20        6  28.0365  122643       2103        1.715  RAND      13.2093
    25        7  26.2426  122642       9785        7.979  LAST      13.4446
    20        7  28.2065  122642       4966        4.049  RAND      13.4618
    15        3  27.101   122646         63        0.051  MEDIAN    13.5075
    20        6  25.2485  122643       2103        1.715  LAST      13.5475
    15        3  27.6254  122646         63        0.051  MEAN      13.5725
    15        3  28.6439  122646         63        0.051  RAND      13.5731
    15        4  27.7226  122645        168        0.137  MEAN      13.5806
    15        4  28.1288  122645        168        0.137  MEDIAN    13.6047
    15        4  27.5005  122645        168        0.137  RAND      13.6107
    15        3  24.939   122646         63        0.051  LAST      13.6263
    15        4  25.2644  122645        168        0.137  LAST      13.698
    15        5  28.259   122644        348        0.284  MEDIAN    13.8579
    15        5  27.0771  122644        348        0.284  MEAN      13.8805
    20        7  24.5815  122642       4966        4.049  LAST      13.9128
    15        5  28.2251  122644        348        0.284  RAND      13.915
    15        2  27.6144  122647          7        0.006  MEAN      13.9881
    15        2  27.7143  122647          7        0.006  MEDIAN    14.0147
    15        5  24.3416  122644        348        0.284  LAST      14.0443
    15        2  24.5627  122647          7        0.006  LAST      14.0572
    15        2  30.0328  122647          7        0.006  RAND      14.068
    15        6  27.681   122643        780        0.636  MEAN      14.08
    15        6  26.7539  122643        780        0.636  MEDIAN    14.1726
    15        6  26.8787  122643        780        0.636  RAND      14.2906
   180        1  29.2745  122648          7        0.006  RAND      14.3128
   150        1  30.5277  122648          4        0.003  LAST      14.3529
   190        1  28.0949  122648          6        0.005  MEDIAN    14.3631
   175        1  26.909   122648          6        0.005  MEAN      14.3649
   135        1  28.4565  122648          4        0.003  MEAN      14.3667
   180        1  28.952   122648          7        0.006  MEAN      14.3684
   140        1  28.8534  122648          2        0.002  RAND      14.3702
   125        1  30.1288  122648          2        0.002  MEAN      14.3727
   165        1  32.0272  122648          5        0.004  LAST      14.3784
   175        1  29.8588  122648          6        0.005  RAND      14.3796
   195        1  27.8791  122648          7        0.006  RAND      14.3823
   195        1  29.0943  122648          7        0.006  MEAN      14.3824
    15        7  27.4233  122642       1795        1.464  MEAN      14.3831
   195        1  25.7733  122648          7        0.006  MEDIAN    14.3863
   140        1  29.7682  122648          2        0.002  LAST      14.3881
   155        1  28.9416  122648          6        0.005  RAND      14.3944
   175        1  28.9875  122648          6        0.005  MEDIAN    14.3946
   160        1  28.9342  122648          4        0.003  MEDIAN    14.4043
   120        1  28.5325  122648          0        0      RAND      14.4068
   170        1  26.618   122648          5        0.004  LAST      14.4089
   120        1  28.9921  122648          0        0      LAST      14.409
   145        1  26.5593  122648          4        0.003  RAND      14.4101
   110        1  27.2595  122648          1        0.001  RAND      14.4106
   125        1  28.835   122648          2        0.002  LAST      14.4134
    90        1  25.3338  122648          0        0      RAND      14.4159
   175        1  30.8523  122648          6        0.005  LAST      14.4164
   180        1  26.5384  122648          7        0.006  LAST      14.421
   150        1  28.5902  122648          4        0.003  MEDIAN    14.4244
   155        1  27.7612  122648          6        0.005  LAST      14.4304
   130        1  28.3651  122648          5        0.004  MEAN      14.4309
   170        1  27.8673  122648          5        0.004  RAND      14.435
   190        1  29.3024  122648          6        0.005  RAND      14.4352
   140        1  29.1302  122648          2        0.002  MEAN      14.4353
   165        1  30.1048  122648          5        0.004  MEAN      14.4357
   150        1  28.5787  122648          4        0.003  MEAN      14.4376
    80        1  27.9944  122648          0        0      LAST      14.4392
   190        1  29.6153  122648          6        0.005  MEAN      14.4396
   185        1  28.387   122648          9        0.007  RAND      14.4398
   135        1  26.5983  122648          4        0.003  LAST      14.44
   120        1  28.6793  122648          0        0      MEAN      14.4404
   130        1  28.2114  122648          5        0.004  RAND      14.4408
   160        1  26.5516  122648          4        0.003  RAND      14.444
    80        1  29.4726  122648          0        0      MEAN      14.4446
    95        1  26.5676  122648          0        0      LAST      14.4466
   155        1  29.0084  122648          6        0.005  MEDIAN    14.4488
    15        7  27.3776  122642       1795        1.464  MEDIAN    14.4497
   125        1  29.6101  122648          2        0.002  MEDIAN    14.4502
   135        1  29.6779  122648          4        0.003  MEDIAN    14.4503
   180        1  28.4968  122648          7        0.006  MEDIAN    14.4509
    95        1  28.0999  122648          0        0      MEDIAN    14.4516
   115        1  27.218   122648          0        0      MEDIAN    14.452
    95        1  27.1895  122648          0        0      MEAN      14.4576
   130        1  27.4128  122648          5        0.004  MEDIAN    14.4578
   185        1  26.5287  122648          9        0.007  MEAN      14.4601
   150        1  25.5674  122648          4        0.003  RAND      14.4606
